Property Number,Webpage,Value,Beds,Baths,LivingSpace,LotSize,YearBuilt,TotRooms,BuildExtType,SchoolDist
65,https://www.realtor.com/realestateandhomes-detail/17188-Summer-Meadow-Rd_Beaverdam_VA_23015_M51404-98875?view=qv,399000,4,2.5,2320,10,1995,8,Vinyl,Patrick Henry
66,https://www.realtor.com/realestateandhomes-detail/10044-Atlee-Station-Rd_Mechanicsville_VA_23116_M64618-11505?view=qv,589950,5,4.5,4100,3.74,1992,12,Vinyl,Atlee
67,https://www.realtor.com/realestateandhomes-detail/11520-Hanover-Courthouse-Rd_Hanover_VA_23069_M50326-72760?view=qv,225950,3,1.5,1452,2.75,1969,6,Brick,Hanover
68,https://www.realtor.com/realestateandhomes-detail/15554-S-Cedar-Creek-Ln_Montpelier_VA_23192_M62215-80566?view=qv,545000,5,3,3815,10,1987,10,Wood,Patrick Henry
69,https://www.realtor.com/realestateandhomes-detail/8064-Pebblepath-Pkwy_Mechanicsville_VA_23111_M68868-97813?view=qv,339950,5,2.5,2442,1.17,1997,8,Vinyl,Lee Davis
70,https://www.realtor.com/realestateandhomes-detail/707-Chapman-St_Ashland_VA_23005_M54399-90214?view=qv,447500,4,2.5,3273,0.71,2005,9,Vinyl,Patrick Henry
71,https://www.realtor.com/realestateandhomes-detail/7074-Marie-Ln_Mechanicsville_VA_23111_M62928-62243?view=qv,275000,4,2.5,2373,0.58,1975,8,Vinyl,Lee Davis
72,https://www.realtor.com/realestateandhomes-detail/10013-Wintercrest-Dr_Ashland_VA_23005_M68288-73334?view=qv,662500,5,3.5,4557,1.3,2004,11,Brick,Hanover
73,https://www.realtor.com/realestateandhomes-detail/7363-Princess-Anne-Dr_Mechanicsville_VA_23111_M57610-00266?view=qv,274900,3,2.5,1801,0.43,1966,7,Brick,Atlee
74,https://www.realtor.com/realestateandhomes-detail/9148-Avondale-Dr_Mechanicsville_VA_23116_M60785-06096?view=qv,289900,3,2.5,2193,0.67,1972,9,Brick/Vinyl,Hanover
75,https://www.realtor.com/realestateandhomes-detail/10129-Stags-Leap-Dr_Mechanicsville_VA_23116_M59544-71558?view=qv,364950,4,2.5,2350,0.23,2006,8,Vinyl,Atlee
76,https://www.realtor.com/realestateandhomes-detail/10016-Meadow-Pond-Dr_Mechanicsville_VA_23116_M64987-06560?view=qv,630000,5,3.5,5264,0.46,2013,13,Brick,Atlee
77,https://www.realtor.com/realestateandhomes-detail/4124-Mechanicsville-Tpke_Mechanicsville_VA_23111_M69475-09262?view=qv,419950,4,3,2600,3.41,2019,9,Vinyl,Hanover
78,https://www.realtor.com/realestateandhomes-detail/6763-Crump-Dr_Mechanicsville_VA_23111_M57576-08179?view=qv,329500,3,2.5,2644,0.37,2002,8,Brick/Vinyl,Lee Davis
79,https://www.realtor.com/realestateandhomes-detail/12285-Shop-Creek-Dr_Rockville_VA_23146_M50806-28953?view=qv,429000,5,3.5,4011,10.5,1989,12,Vinyl,Patrick Henry
80,https://www.realtor.com/realestateandhomes-detail/7111-Labrador-Ln_Mechanicsville_VA_23111_M60960-57132?view=qv,275000,3,2,1816,2.57,1975,7,Wood,Lee Davis
